state,state_abbreviation,county,fips,Bernie Vote,Bernie %,Hillary Vote,Hillary %,1 if Bernie Won,Margin
Connecticut,CT,Tolland County,9013,8734,0.608471506,5620,0.391528494,1,0.216943012
Connecticut,CT,Windham County,9015,5555,0.598405688,3728,0.401594312,1,0.196811376
Connecticut,CT,Litchfield County,9005,9186,0.570098678,6927,0.429901322,1,0.140197356
Connecticut,CT,New London County,9011,13367,0.550444737,10917,0.449555263,1,0.100889475
Connecticut,CT,Middlesex County,9007,11370,0.521846888,10418,0.478153112,1,0.043693776
Connecticut,CT,New Haven County,9009,40255,0.467087477,45928,0.532912523,0,-0.065825047
Connecticut,CT,Hartford County,9003,34163,0.461200961,39911,0.538799039,0,-0.077598078
Connecticut,CT,Fairfield County,9001,29780,0.389759966,46626,0.610240034,0,-0.220480067
Delaware,DE,Kent,10001,4980,0.399,7338,0.588,0,-0.189
Delaware,DE,New Castle,10003,25738,0.397,38580,0.595,0,-0.198
Delaware,DE,Sussex,10005,5941,0.364,10032,0.614,0,-0.25
Illinois,IL,DeKalb,17037,8315,0.665,4135,0.331,1,0.334
Illinois,IL,Champaign,17019,20581,0.659,10542,0.338,1,0.321
Illinois,IL,McLean,17113,12936,0.624,7695,0.371,1,0.253
Illinois,IL,Jackson,17077,4656,0.619,2826,0.376,1,0.243
Illinois,IL,Iroquois,17075,875,0.606,542,0.375,1,0.231
Illinois,IL,Pope,17151,176,0.601,109,0.372,1,0.229
Illinois,IL,McHenry,17111,15502,0.611,9766,0.385,1,0.226
Illinois,IL,Lee,17103,1958,0.598,1292,0.394,1,0.204
Illinois,IL,Ford,17053,438,0.594,288,0.391,1,0.203
Illinois,IL,Grundy,17063,3095,0.596,2051,0.395,1,0.201
Illinois,IL,Coles,17029,2522,0.59,1708,0.399,1,0.191
Illinois,IL,Ogle,17141,2642,0.592,1793,0.402,1,0.19
Illinois,IL,Washington,17189,595,0.577,409,0.397,1,0.18
Illinois,IL,Effingham,17049,1247,0.58,867,0.403,1,0.177
Illinois,IL,Boone,17007,2773,0.583,1957,0.411,1,0.172
Illinois,IL,Kendall,17093,7482,0.584,5283,0.412,1,0.172
Illinois,IL,Cumberland,17035,517,0.563,364,0.396,1,0.167
Illinois,IL,McDonough,17109,1469,0.578,1052,0.414,1,0.164
Illinois,IL,Clinton,17027,1266,0.575,906,0.412,1,0.163
Illinois,IL,Morgan,17137,1278,0.575,917,0.412,1,0.163
Illinois,IL,Hardin,17069,222,0.554,162,0.404,1,0.15
Illinois,IL,Douglas,17041,643,0.562,483,0.422,1,0.14
Illinois,IL,Logan,17107,972,0.564,737,0.428,1,0.136
Illinois,IL,Williamson,17199,3902,0.553,2978,0.422,1,0.131
Illinois,IL,Jasper,17079,434,0.536,328,0.405,1,0.131
Illinois,IL,Kane,17089,31085,0.562,24063,0.435,1,0.127
Illinois,IL,Piatt,17147,1016,0.555,787,0.43,1,0.125
Illinois,IL,Wayne,17191,360,0.541,277,0.417,1,0.124
Illinois,IL,Livingston,17105,971,0.555,757,0.433,1,0.122
Illinois,IL,LaSalle,17099,6739,0.556,5271,0.435,1,0.121
Illinois,IL,Macoupin,17117,3552,0.55,2770,0.429,1,0.121
Illinois,IL,Franklin,17055,2780,0.539,2172,0.421,1,0.118
Illinois,IL,Woodford,17203,1616,0.555,1277,0.438,1,0.117
Illinois,IL,Jersey,17083,1069,0.545,853,0.435,1,0.11
Illinois,IL,Union,17181,1152,0.542,921,0.433,1,0.109
Illinois,IL,Monroe,17133,1775,0.546,1436,0.442,1,0.104
Illinois,IL,Menard,17129,491,0.547,398,0.444,1,0.103
Illinois,IL,Gallatin,17059,663,0.504,531,0.403,1,0.101
Illinois,IL,Moultrie,17139,566,0.54,462,0.44,1,0.1
Illinois,IL,Madison,17119,18723,0.545,15332,0.446,1,0.099
Illinois,IL,Tazewell,17179,7154,0.545,5867,0.447,1,0.098
Illinois,IL,Bureau,17011,1852,0.542,1518,0.445,1,0.097
Illinois,IL,Richland,17159,543,0.536,448,0.442,1,0.094
Illinois,IL,Shelby,17173,940,0.53,782,0.441,1,0.089
Illinois,IL,Bond,17005,858,0.534,718,0.447,1,0.087
Illinois,IL,Clark,17023,664,0.53,560,0.447,1,0.083
Illinois,IL,Randolph,17157,1549,0.528,1306,0.445,1,0.083
Illinois,IL,Fulton,17057,2537,0.533,2150,0.451,1,0.082
Illinois,IL,DeWitt,17039,659,0.533,561,0.454,1,0.079
Illinois,IL,Kankakee,17091,5751,0.536,4898,0.457,1,0.079
Illinois,IL,Johnson,17087,420,0.525,361,0.451,1,0.074
Illinois,IL,Clay,17025,439,0.521,378,0.449,1,0.072
Illinois,IL,Hamilton,17065,485,0.497,418,0.428,1,0.069
Illinois,IL,Sangamon,17167,10365,0.526,9255,0.469,1,0.057
Illinois,IL,Calhoun,17013,503,0.507,446,0.45,1,0.057
Illinois,IL,Putnam,17155,504,0.52,450,0.464,1,0.056
Illinois,IL,Knox,17095,3168,0.521,2836,0.467,1,0.054
Illinois,IL,Will,17197,46305,0.524,41651,0.471,1,0.053
Illinois,IL,Winnebago,17201,16715,0.523,15065,0.472,1,0.051
Illinois,IL,DuPage,17043,65159,0.523,59103,0.474,1,0.049
Illinois,IL,Saline,17165,1150,0.507,1042,0.459,1,0.048
Illinois,IL,Christian,17021,1526,0.512,1395,0.468,1,0.044
Illinois,IL,Stark,17175,215,0.514,197,0.471,1,0.043
Illinois,IL,Perry,17145,930,0.51,853,0.468,1,0.042
Illinois,IL,Whiteside,17195,3102,0.514,2895,0.48,1,0.034
Illinois,IL,Scott,17171,161,0.5,150,0.466,1,0.034
Illinois,IL,Cass,17017,539,0.502,504,0.469,1,0.033
Illinois,IL,Jefferson,17081,1775,0.499,1677,0.472,1,0.027
Illinois,IL,Greene,17061,530,0.494,503,0.469,1,0.025
Illinois,IL,Edgar,17045,468,0.497,446,0.474,1,0.023
Illinois,IL,Marion,17121,1681,0.498,1609,0.477,1,0.021
Illinois,IL,Fayette,17051,641,0.499,616,0.48,1,0.019
Illinois,IL,Edwards,17047,148,0.498,143,0.481,1,0.017
Illinois,IL,Marshall,17123,586,0.505,568,0.49,1,0.015
Illinois,IL,Lawrence,17101,429,0.483,417,0.47,1,0.013
Illinois,IL,Carroll,17015,640,0.5,625,0.488,1,0.012
Illinois,IL,Montgomery,17135,1266,0.493,1241,0.483,1,0.01
Illinois,IL,Warren,17187,741,0.5,726,0.49,1,0.01
