FED_Name,2014 L,2014 PC,2014 NDP,2014 NDP vs L,2018 PC,2018 NDP,2018 LIB,2018 NDP vs L
Algoma--Manitoulin,0.2451,0.173,0.5341,0.289,0.259555487,0.615050373,0.087364454,0.527685919
Beaches--East York,0.4009,0.1393,0.3897,-0.0112,0.188280067,0.49236813,0.27581127,0.21655686
Brantford--Brant,0.3763,0.2997,0.2715,-0.1048,0.432432432,0.421280417,0.097674419,0.323605998
Bruce--Grey--Owen Sound,0.2706,0.4755,0.1585,-0.1121,0.563674541,0.248125984,0.126845144,0.12128084
Burlington,0.4341,0.3698,0.1435,-0.2906,0.411940491,0.291760221,0.250617862,0.041142359
Cambridge,0.3893,0.3256,0.216,-0.1733,0.373480825,0.328267669,0.23490271,0.093364959
Davenport,0.4561,0.0747,0.4015,-0.0546,0.163237281,0.611375667,0.189417263,0.421958404
Don Valley East,0.5571,0.2679,0.1303,-0.4268,0.33438433,0.276988755,0.363040263,-0.086051508
Don Valley West,0.5701,0.3063,0.0776,-0.4925,0.388890115,0.19024078,0.39288473,-0.20264395
Dufferin--Caledon,0.3066,0.3986,0.1166,-0.19,0.539390527,0.206686764,0.12659814,0.080088624
Durham,0.3645,0.3429,0.2408,-0.1237,0.472902735,0.318628749,0.169419983,0.149208766
Eglinton--Lawrence,0.548,0.3376,0.0734,-0.4746,0.404071794,0.182334309,0.389091416,-0.206757107
Elgin--Middlesex--London,0.2032,0.4636,0.2663,0.0631,0.561764537,0.324861306,0.074040658,0.250820648
Essex,0.1422,0.2182,0.6034,0.4612,0.423367045,0.485258237,0.056862416,0.428395821
Etobicoke Centre,0.5028,0.3272,0.1214,-0.3814,0.438006454,0.184851201,0.353316601,-0.1684654
Etobicoke North,0.449,0.2274,0.2621,-0.1869,0.53141646,0.256853613,0.184092367,0.072761246
Etobicoke--Lakeshore,0.4749,0.3435,0.1243,-0.3506,0.387115901,0.331292944,0.244951345,0.0863416
Glengarry--Prescott--Russell,0.4974,0.3257,0.1246,-0.3728,0.420753046,0.223721381,0.325399502,-0.101678121
Guelph,0.4152,0.2084,0.177,-0.2382,0.221338656,0.21888702,0.102732945,0.116154076
Haldimand--Norfolk,0.1972,0.5222,0.2316,0.0344,0.586590591,0.276330484,0.094539991,0.181790493
Haliburton--Kawartha Lakes--Brock,0.3503,0.4096,0.1974,-0.1529,0.581339372,0.271172842,0.101415683,0.169757159
Hamilton Centre,0.235,0.1439,0.5201,0.2851,0.160607674,0.66894638,0.111528436,0.557417944
Hamilton East--Stoney Creek,0.2916,0.1776,0.4681,0.1765,0.29835872,0.531774708,0.125634668,0.40614004
Hamilton Mountain,0.2957,0.1793,0.469,0.1733,0.294779447,0.558093801,0.094532483,0.463561318
Huron--Bruce,0.3086,0.3901,0.2285,-0.0801,0.530307681,0.293984501,0.141103353,0.152881148
Kenora--Rainy River,0.1577,0.255,0.5566,0.3989,0.483803344,0.374494634,0.105714999,0.268779636
Kingston And The Islands,0.4159,0.2126,0.2956,-0.1203,0.261664306,0.396008795,0.277036595,0.118972199
Kitchener Centre,0.4314,0.2698,0.2281,-0.2033,0.282197992,0.442880276,0.205095541,0.237784735
Kitchener--Conestoga,0.3334,0.3636,0.2119,-0.1215,0.403420953,0.387146517,0.143172329,0.243974189
Lambton--Kent--Middlesex,0.2028,0.4517,0.2652,0.0624,0.563615778,0.33947959,0.063443926,0.276035664
London North Centre,0.3598,0.264,0.3043,-0.0555,0.312448552,0.481871586,0.159039886,0.322831699
London West,0.2372,0.2957,0.4036,0.1664,0.296239301,0.564433302,0.101097951,0.463335351
London--Fanshawe,0.199,0.2308,0.5042,0.3052,0.302858551,0.566154398,0.085062055,0.481092343
Markham--Unionville,0.5133,0.3398,0.1003,-0.413,0.62979519,0.167157379,0.181706819,-0.01454944
Mississauga East--Cooksville,0.5233,0.262,0.1539,-0.3694,0.421760997,0.23307596,0.309791977,-0.076716016
Mississauga--Streetsville,0.5257,0.2807,0.137,-0.3887,0.444565102,0.263877355,0.262834025,0.00104333
Newmarket--Aurora,0.4394,0.3742,0.1151,-0.3243,0.483793368,0.244043052,0.235084299,0.008958752
Niagara Falls,0.1439,0.328,0.4739,0.33,0.358687901,0.512088696,0.094298618,0.417790078
Nickel Belt,0.219,0.1192,0.6262,0.4072,0.225897335,0.652420127,0.089648955,0.562771173
Nipissing,0.2678,0.4181,0.2574,-0.0104,0.511822703,0.377919321,0.081261088,0.296658232
Oakville,0.494,0.3781,0.0798,-0.4142,0.439461883,0.165740625,0.359494756,-0.193754131
Orléans,0.535,0.3314,0.0898,-0.4452,0.356623414,0.222333127,0.395646181,-0.173313054
Ottawa Centre,0.5202,0.1818,0.2047,-0.3155,0.163072457,0.46814116,0.333038855,0.135102305
Ottawa South,0.4996,0.3211,0.1226,-0.377,0.294766211,0.274196652,0.399903791,-0.125707139
Ottawa West--Nepean,0.4484,0.3389,0.1441,-0.3043,0.333474031,0.329936485,0.297656376,0.032280109
Oxford,0.2131,0.4624,0.2579,0.0448,0.572337293,0.312496319,0.07105134,0.241444979
Parkdale--High Park,0.3956,0.1283,0.4077,0.0121,0.181759295,0.599763108,0.171395258,0.428367849
Parry Sound--Muskoka,0.2625,0.4073,0.1292,-0.1333,0.486696588,0.223205274,0.087422424,0.135782851
Perth--Wellington,0.331,0.3896,0.1891,-0.1419,0.516797666,0.31320081,0.110213591,0.202987219
Renfrew--Nipissing--Pembroke,0.1911,0.6107,0.1446,-0.0465,0.701322735,0.169621265,0.098858116,0.070763148
Richmond Hill,0.4778,0.3654,0.1097,-0.3681,0.515997214,0.173902949,0.281123752,-0.107220803
Sarnia--Lambton,0.1786,0.4101,0.3577,0.1791,0.537316125,0.380876989,0.044611006,0.336265983
Sault Ste. Marie,0.5853,0.1239,0.2547,-0.3306,0.437891322,0.424460665,0.1037794,0.320681265
Scarborough Centre,0.5505,0.2158,0.2029,-0.3476,0.399091344,0.346219247,0.230724268,0.115494978
Scarborough Southwest,0.5023,0.2065,0.2365,-0.2658,0.318298909,0.462531029,0.192379748,0.270151281
Scarborough--Agincourt,0.4984,0.3463,0.1181,-0.3803,0.514765361,0.178237021,0.289406615,-0.111169594
Scarborough--Guildwood,0.4989,0.2801,0.1698,-0.3291,0.343111214,0.286118489,0.345449821,-0.059331332
Simcoe North,0.3253,0.4396,0.1555,-0.1698,0.472253052,0.282556419,0.178320385,0.104236034
Simcoe--Grey,0.3118,0.4712,0.1413,-0.1705,0.563527876,0.222211203,0.14497281,0.077238393
St. Catharines,0.41,0.297,0.244,-0.166,0.341204924,0.371839239,0.249144677,0.122694561
Stormont--Dundas--South Glengarry,0.232,0.5172,0.209,-0.023,0.620223262,0.218074019,0.124739451,0.093334569
Sudbury,0.3935,0.138,0.4224,0.0289,0.23705545,0.491285557,0.229174317,0.26211124
Thornhill,0.4378,0.4399,0.0814,-0.3564,0.627326225,0.198345313,0.15167966,0.046665653
Thunder Bay--Atikokan,0.5298,0.1319,0.2811,-0.2487,0.236465542,0.369258227,0.366721984,0.002536243
Thunder Bay--Superior North,0.5597,0.0718,0.2946,-0.2651,0.183753406,0.379904632,0.407799728,-0.027895095
Timiskaming--Cochrane,0.2321,0.1713,0.5548,0.3227,0.235618115,0.642786108,0.093941248,0.548844859
Toronto--Danforth,0.3716,0.1001,0.4461,0.0745,0.160904755,0.651811687,0.142797776,0.509013912
Toronto--St. Paul's,0.5974,0.2395,0.1006,-0.4968,0.265982088,0.363708308,0.33768916,0.026019148
Wellington--Halton Hills,0.2932,0.4661,0.1413,-0.1519,0.542998765,0.241612925,0.128498902,0.113114023
Willowdale,0.5258,0.3347,0.1015,-0.4243,0.444411028,0.261177945,0.271052632,-0.009874687
Windsor West,0.3854,0.1438,0.4141,0.0287,0.287580511,0.52659464,0.14964679,0.37694785
Windsor--Tecumseh,0.1525,0.1496,0.6216,0.4691,0.275900369,0.596015691,0.083018244,0.512997448
York Centre,0.4789,0.3146,0.1596,-0.3193,0.515506586,0.2409743,0.219944629,0.021029671
York South--Weston,0.4785,0.1126,0.3725,-0.106,0.331525698,0.363037906,0.280021584,0.083016323
York--Simcoe,0.3457,0.404,0.1788,-0.1669,0.577823126,0.236341858,0.13714704,0.099194818
