,,,"5350011.00 [Census tract], Ontario",,,,,,"Toronto [Census metropolitan area], Ontario",,,,,
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwellings,Population; 2016,1,17549,,,...,,...,5928040,,,...,,...
Population and dwellings,Population; 2011,1,8645,,,...,,...,5583064,,,...,,...
Population and dwellings,Population percentage change; 2011 to 2016,,103,,,...,,...,6.2,,,...,,...
Population and dwellings,Total private dwellings,2,15207,,,...,,...,2235145,,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,11891,,,...,,...,2135909,,,...,,...
Population and dwellings,Population density per square kilometre,,17903.5,,,...,,...,1003.8,,,...,,...
Population and dwellings,Land area in square kilometres,,0.98,,,...,,...,5905.84,,,...,,...
Age characteristics,Total - Age groups and average age of the population - 100% data,4,17555,,9055,,8500,,5928040,,2876755,,3051290,
Age characteristics,  0 to 14 years,,495,,265,,230,,985615,,505690,,479920,
Age characteristics,    0 to 4 years,,355,,195,,160,,310070,,158835,,151235,
Age characteristics,    5 to 9 years,,90,,40,,45,,338320,,173665,,164660,
Age characteristics,    10 to 14 years,,45,,20,,20,,337220,,173190,,164035,
Age characteristics,  15 to 64 years,,16545,,8520,,8025,,4083850,,1988910,,2094935,
Age characteristics,    15 to 19 years,,200,,90,,110,,366525,,188790,,177735,
Age characteristics,    20 to 24 years,,2070,,910,,1150,,411945,,210445,,201500,
Age characteristics,    25 to 29 years,,5145,,2535,,2605,,424345,,209785,,214560,
Age characteristics,    30 to 34 years,,3855,,2055,,1800,,419845,,201620,,218220,
Age characteristics,    35 to 39 years,,2035,,1125,,910,,406175,,190620,,215555,
Age characteristics,    40 to 44 years,,1150,,645,,500,,414490,,195580,,218910,
Age characteristics,    45 to 49 years,,705,,405,,295,,440145,,210225,,229920,
Age characteristics,    50 to 54 years,,610,,335,,275,,460465,,225115,,235350,
Age characteristics,    55 to 59 years,,455,,240,,215,,407175,,198170,,209005,
Age characteristics,    60 to 64 years,,325,,165,,160,,332740,,158560,,174175,
Age characteristics,  65 years and over,,515,,270,,240,,858580,,382150,,476435,
Age characteristics,    65 to 69 years,,235,,120,,110,,280910,,132275,,148635,
Age characteristics,    70 to 74 years,,145,,80,,65,,197490,,91745,,105745,
Age characteristics,    75 to 79 years,,70,,40,,35,,151925,,68045,,83880,
Age characteristics,    80 to 84 years,,35,,20,,15,,113220,,49005,,64215,
Age characteristics,    85 years and over,,25,,10,,15,,115030,,41080,,73955,
Age characteristics,      85 to 89 years,,15,,10,,10,,72340,,28160,,44175,
Age characteristics,      90 to 94 years,,5,,5,,5,,33400,,10570,,22835,
Age characteristics,      95 to 99 years,,5,,0,,0,,8030,,2115,,5915,
Age characteristics,      100 years and over,,0,,0,,0,,1270,,230,,1040,
